,degree,degree_centrality,closeness,betweenness,clustering,eigenvector,pagerank,average_neighbor_degree,graph_labels
4,8916,0.9077580940745266,0.9155480984340044,0.004830762390678129,0.1482048065235021,0.036998646852359846,0.002909946490993769,1357.9477344100494,1
55,7274,0.7405823661168804,0.7940177849636216,0.002437574818275245,0.18361682209531935,0.03319221707586839,0.0014247425599630257,1507.6553478141325,1
8,8307,0.8457544288332315,0.8663667636940989,0.0036625077875130753,0.16113845830358245,0.0358188248735776,0.002212935874729412,1414.7361261586614,1
550,3664,0.3730401140297292,0.6146433041301627,0.000330871966116116,0.3246526101329595,0.021261562862903403,0.00032205846428344775,1988.8504366812226,1
1714,2318,0.23600081449806556,0.566893685790142,9.807936693784752e-05,0.4258865429136707,0.01526450798736396,0.00015139667122995924,2334.9943917169976,1
118,5647,0.5749338220321727,0.7017217975280418,0.0010819142520136894,0.23559159904904695,0.028765471193410153,0.0008116233500647837,1705.8971135115992,1
848,2888,0.29403380166972104,0.5861780854619241,0.0001684851160865013,0.38092480668427675,0.018011515939286113,0.0002106396150582209,2182.0131578947367,1
867,2547,0.2593158216249236,0.5744867520617652,0.00011500799555303928,0.4184119388180911,0.016362868288675978,0.00021979817736240062,2250.0844130349433,1
10,8275,0.8424964365709632,0.8639282258773858,0.003980109497093736,0.15959259413428445,0.03543086132454834,0.0019608537381487216,1409.8218731117825,1
2136,2173,0.22123803705966197,0.5621887699616507,8.264919057711846e-05,0.4371713283483299,0.014461713359985154,0.00013232831876308887,2375.9880349746895,1
230,5263,0.5358379148849521,0.6829844934288297,0.0009936713078782904,0.24200616554414534,0.0270349846934709,0.0005890849526946881,1739.3397301919058,1
171,5839,0.594481775605783,0.711481347337921,0.0013416401675950041,0.22098221894678616,0.028815266539954372,0.0007755439744201615,1658.260489809899,1
471,4026,0.4098961514966402,0.6288897426046869,0.00047098882937814476,0.2932612552569787,0.02247773806957774,0.00036169492765074834,1918.8760556383506,1
64,6224,0.6336794950111994,0.731892697466468,0.0017187026919615457,0.20680207390528627,0.029645186295166118,0.0010346390876850985,1599.5885282776349,1
1159,2216,0.22561596416208513,0.5634465351078476,8.110857947006019e-05,0.4409869530848905,0.01448396091851366,0.00017547826735346127,2303.04738267148,1
2679,1633,0.1662594176338831,0.5453334073621675,3.723299154779884e-05,0.5131096682396167,0.011428009099832426,0.0001083509646254249,2513.7421922841395,1
1060,2831,0.2882305029525555,0.5840518522923233,0.00014718025749214223,0.39462587980373776,0.017989426627073618,0.00020157741440528075,2216.942423172024,1
8457,637,0.06485440847077988,0.5166482562726842,3.0978812721810785e-06,0.6940997008382453,0.005221840077189952,3.760389696317065e-05,3092.642072213501,0
408,3744,0.3811850946854001,0.6177358490566037,0.00036127346299421985,0.31858186563636737,0.02140036965108373,0.00033731805151035455,1958.6776175213674,1
261,3517,0.3580737120749338,0.6090407391331307,0.0003401663159461798,0.31805050262935464,0.02006688745434114,0.0003127720881680354,1968.3539948820016,1
1313,1734,0.17654245571166768,0.5482862565591158,5.013328103416334e-05,0.46694500073543554,0.011797931409638258,9.738370423924115e-05,2459.5634371395618,1
70,7529,0.7665444919568316,0.8107304993809328,0.0028053263523809334,0.17724377536155275,0.033740986953326176,0.00153919224606572,1482.4701819630761,1
26,8284,0.8434127468947261,0.8646126760563381,0.003661415786567187,0.16232525380385893,0.03579104546384699,0.0020018389913970367,1421.369869628199,1
89,6458,0.6575035634290368,0.7448809343242834,0.0017326163776313112,0.2051812564938131,0.03082542123698907,0.0008731049093141544,1596.6254258284298,1
7,8430,0.8582773365913255,0.8758694489031568,0.0039201882505646764,0.1579510493555337,0.03597482113090596,0.0022698722341124703,1401.5009489916963,1
92,5233,0.5327835471390755,0.6815626951634168,0.0009042568315685391,0.25099061121756716,0.027312690688059776,0.0006286590517206093,1755.3965220714695,1
211,4610,0.4693545102830381,0.6533191432752428,0.0006394517943277011,0.27835993804444664,0.02512942718216029,0.00046169197023465474,1848.2804772234274,1
127,4840,0.492771329668092,0.6634693326128074,0.0007477357982414674,0.2631563621334235,0.025671893158037883,0.0005467557199744054,1785.4336776859504,1
76,6255,0.6368356750152718,0.7335872731346628,0.00162542761739718,0.2072811082761549,0.030033724839842083,0.0009131517400927207,1603.4732214228618,1
344,4182,0.4257788637751985,0.6352347691113698,0.0004676961165031506,0.29462471193784917,0.023316349839567607,0.0004554723502158916,1893.4866092778575,1
534,3939,0.401038485033598,0.6254059216809933,0.00035686122559544313,0.31913921946556495,0.022835085311238602,0.000368935737302445,1979.1812642802743,1
101,5577,0.5678069639584606,0.6982298997654084,0.0010127092900622464,0.2387696547281582,0.028527153455274835,0.0007948911094661998,1710.0857091626322,1
4363,1670,0.17002647118713093,0.5463344087217711,3.7159497815251316e-05,0.5152592358721741,0.011662693160364127,0.00010221295704372868,2515.0646706586826,1
2128,2132,0.21706373447363062,0.5608725445408862,7.947823767250787e-05,0.44320726028615376,0.01395127276281174,0.00014392253906782537,2315.0037523452156,1
